idxcell,idycell,idzcell,Temperature
1,1,1,300.000000
1,2,1,312.910895987176
1,3,1,314.468193790727
1,4,1,316.286262988547
1,5,1,318.32106300454
1,6,1,319.775494295316
1,7,1,321.226935058933
1,8,1,322.772073875177
1,9,1,324.472408305858
1,10,1,326.023249049041
1,11,1,327.190306099209
1,12,1,328.260690938602
1,13,1,329.875826421498
1,14,1,331.215602999076
1,15,1,332.397211482725
1,16,1,333.906760817055
1,17,1,334.906783981552
1,18,1,336.407471120701
1,19,1,337.840767035397
1,20,1,338.548012288886
1,21,1,340.022249840146
1,22,1,340.861247951162
1,23,1,342.461288822064
1,24,1,343.490538402628
1,25,1,344.771484866697
1,26,1,345.985096921802
1,27,1,347.058228765119
1,28,1,348.125506118789
1,29,1,349.213263627344
1,30,1,350.365389646015
1,31,1,351.628685435389
1,32,1,352.927069270219
1,33,1,353.959209842065
1,34,1,355.143470501717
1,35,1,356.330645491934
1,36,1,357.330601711303
1,37,1,358.824880955425
1,38,1,359.824826607864
1,39,1,361.067526535641
1,40,1,362.377473931093
1,41,1,363.526556315698
1,42,1,364.468008489304
1,43,1,365.801306281368
1,44,1,366.929900067076
1,45,1,368.175442867985
1,46,1,369.748429152278
1,47,1,370.640171140702
1,48,1,372.116623708422
1,49,1,373.56965347075
1,50,1,374.905720960494
1,51,1,376.086845101619
1,52,1,377.753164960689
1,53,1,379.317132620275
1,54,1,381.173315121818
1,55,1,382.930059761302
1,56,1,385.142606337454
1,57,1,386.919655079192
1,58,1,400.000000
