# branch_names=LA,TA,LO,TO; degeneracy=1,2,1,2
# branch	q_real(1/m)	f(THz)	vg(m/s)
1	0.0000000000e+00	0.0000000000	9010.0000000000
1	2.3138226136e+06	0.0033178189	9009.0744709546
1	4.6276452272e+06	0.0066352970	9008.1489419091
1	6.9414678407e+06	0.0099524342	9007.2234128637
1	9.2552904543e+06	0.0132692306	9006.2978838183
1	1.1569113068e+07	0.0165856862	9005.3723547728
1	1.3882935681e+07	0.0199018009	9004.4468257274
1	1.6196758295e+07	0.0232175749	9003.5212966820
1	1.8510580909e+07	0.0265330079	9002.5957676365
1	2.0824403522e+07	0.0298481002	9001.6702385911
1	2.3138226136e+07	0.0331628516	9000.7447095457
1	2.5452048749e+07	0.0364772622	8999.8191805002
1	2.7765871363e+07	0.0397913319	8998.8936514548
1	3.0079693977e+07	0.0431050609	8997.9681224094
1	3.2393516590e+07	0.0464184490	8997.0425933639
1	3.4707339204e+07	0.0497314962	8996.1170643185
1	3.7021161817e+07	0.0530442026	8995.1915352731
1	3.9334984431e+07	0.0563565682	8994.2660062276
1	4.1648807044e+07	0.0596685930	8993.3404771822
1	4.3962629658e+07	0.0629802769	8992.4149481368
1	4.6276452272e+07	0.0662916200	8991.4894190914
1	4.8590274885e+07	0.0696026223	8990.5638900459
1	5.0904097499e+07	0.0729132837	8989.6383610005
1	5.3217920112e+07	0.0762236043	8988.7128319551
1	5.5531742726e+07	0.0795335841	8987.7873029096
1	5.7845565340e+07	0.0828432230	8986.8617738642
1	6.0159387953e+07	0.0861525211	8985.9362448188
1	6.2473210567e+07	0.0894614784	8985.0107157733
1	6.4787033180e+07	0.0927700949	8984.0851867279
1	6.7100855794e+07	0.0960783705	8983.1596576825
1	6.9414678407e+07	0.0993863053	8982.2341286370
1	7.1728501021e+07	0.1026938992	8981.3085995916
1	7.4042323635e+07	0.1060011523	8980.3830705462
1	7.6356146248e+07	0.1093080646	8979.4575415007
1	7.8669968862e+07	0.1126146361	8978.5320124553
1	8.0983791475e+07	0.1159208667	8977.6064834099
1	8.3297614089e+07	0.1192267565	8976.6809543644
1	8.5611436703e+07	0.1225323054	8975.7554253190
1	8.7925259316e+07	0.1258375135	8974.8298962736
1	9.0239081930e+07	0.1291423808	8973.9043672281
1	9.2552904543e+07	0.1324469073	8972.9788381827
1	9.4866727157e+07	0.1357510929	8972.0533091373
1	9.7180549770e+07	0.1390549377	8971.1277800918
1	9.9494372384e+07	0.1423584417	8970.2022510464
1	1.0180819500e+08	0.1456616048	8969.2767220010
1	1.0412201761e+08	0.1489644271	8968.3511929555
1	1.0643584022e+08	0.1522669086	8967.4256639101
1	1.0874966284e+08	0.1555690492	8966.5001348647
1	1.1106348545e+08	0.1588708490	8965.5746058192
1	1.1337730807e+08	0.1621723080	8964.6490767738
1	1.1569113068e+08	0.1654734261	8963.7235477284
1	1.1800495329e+08	0.1687742035	8962.7980186829
1	1.2031877591e+08	0.1720746399	8961.8724896375
1	1.2263259852e+08	0.1753747356	8960.9469605921
1	1.2494642113e+08	0.1786744904	8960.0214315466
1	1.2726024375e+08	0.1819739044	8959.0959025012
1	1.2957406636e+08	0.1852729775	8958.1703734558
1	1.3188788897e+08	0.1885717098	8957.2448444104
1	1.3420171159e+08	0.1918701013	8956.3193153649
1	1.3651553420e+08	0.1951681520	8955.3937863195
1	1.3882935681e+08	0.1984658618	8954.4682572741
1	1.4114317943e+08	0.2017632308	8953.5427282286
1	1.4345700204e+08	0.2050602589	8952.6171991832
1	1.4577082466e+08	0.2083569463	8951.6916701378
1	1.4808464727e+08	0.2116532928	8950.7661410923
1	1.5039846988e+08	0.2149492984	8949.8406120469
1	1.5271229250e+08	0.2182449633	8948.9150830015
1	1.5502611511e+08	0.2215402873	8947.9895539560
1	1.5733993772e+08	0.2248352704	8947.0640249106
1	1.5965376034e+08	0.2281299128	8946.1384958652
1	1.6196758295e+08	0.2314242143	8945.2129668197
1	1.6428140556e+08	0.2347181749	8944.2874377743
1	1.6659522818e+08	0.2380117948	8943.3619087289
1	1.6890905079e+08	0.2413050738	8942.4363796834
1	1.7122287341e+08	0.2445980120	8941.5108506380
1	1.7353669602e+08	0.2478906093	8940.5853215926
1	1.7585051863e+08	0.2511828658	8939.6597925471
1	1.7816434125e+08	0.2544747815	8938.7342635017
1	1.8047816386e+08	0.2577663563	8937.8087344563
1	1.8279198647e+08	0.2610575904	8936.8832054108
1	1.8510580909e+08	0.2643484835	8935.9576763654
1	1.8741963170e+08	0.2676390359	8935.0321473200
1	1.8973345431e+08	0.2709292474	8934.1066182745
1	1.9204727693e+08	0.2742191181	8933.1810892291
1	1.9436109954e+08	0.2775086480	8932.2555601837
1	1.9667492215e+08	0.2807978370	8931.3300311382
1	1.9898874477e+08	0.2840866852	8930.4045020928
1	2.0130256738e+08	0.2873751925	8929.4789730474
1	2.0361639000e+08	0.2906633591	8928.5534440019
1	2.0593021261e+08	0.2939511848	8927.6279149565
1	2.0824403522e+08	0.2972386696	8926.7023859111
1	2.1055785784e+08	0.3005258137	8925.7768568656
1	2.1287168045e+08	0.3038126169	8924.8513278202
1	2.1518550306e+08	0.3070990792	8923.9257987748
1	2.1749932568e+08	0.3103852008	8923.0002697293
1	2.1981314829e+08	0.3136709815	8922.0747406839
1	2.2212697090e+08	0.3169564213	8921.1492116385
1	2.2444079352e+08	0.3202415204	8920.2236825931
1	2.2675461613e+08	0.3235262786	8919.2981535476
1	2.2906843874e+08	0.3268106960	8918.3726245022
1	2.3138226136e+08	0.3300947725	8917.4470954568
1	2.3369608397e+08	0.3333785082	8916.5215664113
1	2.3600990659e+08	0.3366619031	8915.5960373659
1	2.3832372920e+08	0.3399449572	8914.6705083205
1	2.4063755181e+08	0.3432276704	8913.7449792750
1	2.4295137443e+08	0.3465100428	8912.8194502296
1	2.4526519704e+08	0.3497920743	8911.8939211842
1	2.4757901965e+08	0.3530737650	8910.9683921387
1	2.4989284227e+08	0.3563551149	8910.0428630933
1	2.5220666488e+08	0.3596361240	8909.1173340479
1	2.5452048749e+08	0.3629167922	8908.1918050024
1	2.5683431011e+08	0.3661971196	8907.2662759570
1	2.5914813272e+08	0.3694771062	8906.3407469116
1	2.6146195533e+08	0.3727567519	8905.4152178661
1	2.6377577795e+08	0.3760360568	8904.4896888207
1	2.6608960056e+08	0.3793150209	8903.5641597753
1	2.6840342318e+08	0.3825936441	8902.6386307298
1	2.7071724579e+08	0.3858719265	8901.7131016844
1	2.7303106840e+08	0.3891498681	8900.7875726390
1	2.7534489102e+08	0.3924274688	8899.8620435935
1	2.7765871363e+08	0.3957047287	8898.9365145481
1	2.7997253624e+08	0.3989816478	8898.0109855027
1	2.8228635886e+08	0.4022582261	8897.0854564572
1	2.8460018147e+08	0.4055344635	8896.1599274118
1	2.8691400408e+08	0.4088103600	8895.2343983664
1	2.8922782670e+08	0.4120859158	8894.3088693209
1	2.9154164931e+08	0.4153611307	8893.3833402755
1	2.9385547192e+08	0.4186360048	8892.4578112301
1	2.9616929454e+08	0.4219105380	8891.5322821846
1	2.9848311715e+08	0.4251847305	8890.6067531392
1	3.0079693977e+08	0.4284585821	8889.6812240938
1	3.0311076238e+08	0.4317320928	8888.7556950483
1	3.0542458499e+08	0.4350052627	8887.8301660029
1	3.0773840761e+08	0.4382780918	8886.9046369575
1	3.1005223022e+08	0.4415505801	8885.9791079121
1	3.1236605283e+08	0.4448227275	8885.0535788666
1	3.1467987545e+08	0.4480945341	8884.1280498212
1	3.1699369806e+08	0.4513659999	8883.2025207758
1	3.1930752067e+08	0.4546371248	8882.2769917303
1	3.2162134329e+08	0.4579079089	8881.3514626849
1	3.2393516590e+08	0.4611783522	8880.4259336395
1	3.2624898851e+08	0.4644484546	8879.5004045940
1	3.2856281113e+08	0.4677182162	8878.5748755486
1	3.3087663374e+08	0.4709876370	8877.6493465032
1	3.3319045636e+08	0.4742567169	8876.7238174577
1	3.3550427897e+08	0.4775254561	8875.7982884123
1	3.3781810158e+08	0.4807938543	8874.8727593669
1	3.4013192420e+08	0.4840619118	8873.9472303214
1	3.4244574681e+08	0.4873296284	8873.0217012760
1	3.4475956942e+08	0.4905970042	8872.0961722306
1	3.4707339204e+08	0.4938640391	8871.1706431851
1	3.4938721465e+08	0.4971307332	8870.2451141397
1	3.5170103726e+08	0.5003970865	8869.3195850943
1	3.5401485988e+08	0.5036630990	8868.3940560488
1	3.5632868249e+08	0.5069287706	8867.4685270034
1	3.5864250511e+08	0.5101941014	8866.5429979580
1	3.6095632772e+08	0.5134590914	8865.6174689125
1	3.6327015033e+08	0.5167237405	8864.6919398671
1	3.6558397295e+08	0.5199880488	8863.7664108217
1	3.6789779556e+08	0.5232520162	8862.8408817762
1	3.7021161817e+08	0.5265156429	8861.9153527308
1	3.7252544079e+08	0.5297789287	8860.9898236854
1	3.7483926340e+08	0.5330418736	8860.0642946399
1	3.7715308601e+08	0.5363044778	8859.1387655945
1	3.7946690863e+08	0.5395667411	8858.2132365491
1	3.8178073124e+08	0.5428286635	8857.2877075036
1	3.8409455385e+08	0.5460902452	8856.3621784582
1	3.8640837647e+08	0.5493514860	8855.4366494128
1	3.8872219908e+08	0.5526123860	8854.5111203673
1	3.9103602170e+08	0.5558729451	8853.5855913219
1	3.9334984431e+08	0.5591331634	8852.6600622765
1	3.9566366692e+08	0.5623930409	8851.7345332311
1	3.9797748954e+08	0.5656525776	8850.8090041856
1	4.0029131215e+08	0.5689117734	8849.8834751402
1	4.0260513476e+08	0.5721706284	8848.9579460948
1	4.0491895738e+08	0.5754291425	8848.0324170493
1	4.0723277999e+08	0.5786873158	8847.1068880039
1	4.0954660260e+08	0.5819451483	8846.1813589585
1	4.1186042522e+08	0.5852026400	8845.2558299130
1	4.1417424783e+08	0.5884597908	8844.3303008676
1	4.1648807044e+08	0.5917166008	8843.4047718222
1	4.1880189306e+08	0.5949730700	8842.4792427767
1	4.2111571567e+08	0.5982291983	8841.5537137313
1	4.2342953829e+08	0.6014849858	8840.6281846859
1	4.2574336090e+08	0.6047404325	8839.7026556404
1	4.2805718351e+08	0.6079955383	8838.7771265950
1	4.3037100613e+08	0.6112503033	8837.8515975496
1	4.3268482874e+08	0.6145047275	8836.9260685041
1	4.3499865135e+08	0.6177588108	8836.0005394587
1	4.3731247397e+08	0.6210125533	8835.0750104133
1	4.3962629658e+08	0.6242659550	8834.1494813678
1	4.4194011919e+08	0.6275190158	8833.2239523224
1	4.4425394181e+08	0.6307717358	8832.2984232770
1	4.4656776442e+08	0.6340241150	8831.3728942315
1	4.4888158703e+08	0.6372761534	8830.4473651861
1	4.5119540965e+08	0.6405278509	8829.5218361407
1	4.5350923226e+08	0.6437792075	8828.5963070952
1	4.5582305488e+08	0.6470302234	8827.6707780498
1	4.5813687749e+08	0.6502808984	8826.7452490044
1	4.6045070010e+08	0.6535312326	8825.8197199589
1	4.6276452272e+08	0.6567812260	8824.8941909135
1	4.6507834533e+08	0.6600308785	8823.9686618681
1	4.6739216794e+08	0.6632801902	8823.0431328226
1	4.6970599056e+08	0.6665291610	8822.1176037772
1	4.7201981317e+08	0.6697777911	8821.1920747318
1	4.7433363578e+08	0.6730260803	8820.2665456863
1	4.7664745840e+08	0.6762740286	8819.3410166409
1	4.7896128101e+08	0.6795216362	8818.4154875955
1	4.8127510362e+08	0.6827689029	8817.4899585500
1	4.8358892624e+08	0.6860158287	8816.5644295046
1	4.8590274885e+08	0.6892624138	8815.6389004592
1	4.8821657147e+08	0.6925086580	8814.7133714138
1	4.9053039408e+08	0.6957545613	8813.7878423683
1	4.9284421669e+08	0.6990001239	8812.8623133229
1	4.9515803931e+08	0.7022453456	8811.9367842775
1	4.9747186192e+08	0.7054902265	8811.0112552320
1	4.9978568453e+08	0.7087347665	8810.0857261866
1	5.0209950715e+08	0.7119789657	8809.1601971412
1	5.0441332976e+08	0.7152228241	8808.2346680957
