idxcell,idycell,idzcell,Tref
1,1,1,320.000000000000
1,2,1,321.052631578947
1,3,1,322.105263157895
1,4,1,323.157894736842
1,5,1,324.210526315789
1,6,1,325.263157894737
1,7,1,326.315789473684
1,8,1,327.368421052632
1,9,1,328.421052631579
1,10,1,329.473684210526
1,11,1,330.526315789474
1,12,1,331.578947368421
1,13,1,332.631578947368
1,14,1,333.684210526316
1,15,1,334.736842105263
1,16,1,335.789473684211
1,17,1,336.842105263158
1,18,1,337.894736842105
1,19,1,338.947368421053
1,20,1,340.000000000000
1,21,1,341.052631578947
1,22,1,342.105263157895
1,23,1,343.157894736842
1,24,1,344.210526315789
1,25,1,345.263157894737
1,26,1,346.315789473684
1,27,1,347.368421052632
1,28,1,348.421052631579
1,29,1,349.473684210526
1,30,1,350.526315789474
1,31,1,351.578947368421
1,32,1,352.631578947368
1,33,1,353.684210526316
1,34,1,354.736842105263
1,35,1,355.789473684211
1,36,1,356.842105263158
1,37,1,357.894736842105
1,38,1,358.947368421053
1,39,1,360.000000000000
1,40,1,361.052631578947
1,41,1,362.105263157895
1,42,1,363.157894736842
1,43,1,364.210526315789
1,44,1,365.263157894737
1,45,1,366.315789473684
1,46,1,367.368421052632
1,47,1,368.421052631579
1,48,1,369.473684210526
1,49,1,370.526315789474
1,50,1,371.578947368421
1,51,1,372.631578947368
1,52,1,373.684210526316
1,53,1,374.736842105263
1,54,1,375.789473684211
1,55,1,376.842105263158
1,56,1,377.894736842105
1,57,1,378.947368421053
1,58,1,380.000000000000
