idxcell,idycell,idzcell,Temperature
1,1,1,295
1,2,1,299.9413219737758
1,3,1,299.9999999999323
1,4,1,299.9999999999323
1,5,1,299.9999999999323
1,6,1,299.9999999999323
1,7,1,299.9999999999323
1,8,1,299.9999999999323
1,9,1,299.9999999999323
1,10,1,299.9999999999323
1,11,1,299.9999999999323
1,12,1,299.9999999999323
1,13,1,299.9999999999323
1,14,1,299.9999999999323
1,15,1,299.9999999999323
1,16,1,299.9999999999323
1,17,1,299.9999999999323
1,18,1,299.9999999999323
1,19,1,299.9999999999323
1,20,1,299.9999999999323
1,21,1,299.9999999999323
1,22,1,299.9999999999323
1,23,1,299.9999999999323
1,24,1,299.9999999999323
1,25,1,299.9999999999323
1,26,1,299.9999999999323
1,27,1,299.9999999999323
1,28,1,299.9999999999323
1,29,1,299.9999999999323
1,30,1,299.9999999999323
1,31,1,299.9999999999323
1,32,1,299.9999999999323
1,33,1,299.9999999999323
1,34,1,299.9999999999323
1,35,1,299.9999999999323
1,36,1,299.9999999999323
1,37,1,299.9999999999323
1,38,1,299.9999999999323
1,39,1,299.9999999999323
1,40,1,299.9999999999323
1,41,1,299.9999999999323
1,42,1,299.9999999999323
1,43,1,299.9999999999323
1,44,1,299.9999999999323
1,45,1,299.9999999999323
1,46,1,299.9999999999323
1,47,1,299.9999999999323
1,48,1,299.9999999999323
1,49,1,299.9999999999323
1,50,1,299.9999999999323
1,51,1,299.9999999999323
1,52,1,299.9999999999323
1,53,1,299.9999999999323
1,54,1,299.9999999999323
1,55,1,299.9999999999323
1,56,1,299.9999999999323
1,57,1,300.05633068395576
1,58,1,305
