idxcell,idycell,idzcell,Tref
1,1,1,350
1,2,1,350
1,3,1,350
1,4,1,350
1,5,1,350
1,6,1,350
1,7,1,350
1,8,1,350
1,9,1,350
1,10,1,350
1,11,1,350
1,12,1,350
1,13,1,350
1,14,1,350
1,15,1,350
1,16,1,350
1,17,1,350
1,18,1,350
1,19,1,350
1,20,1,350
1,21,1,350
1,22,1,350
1,23,1,350
1,24,1,350
1,25,1,350
1,26,1,350
1,27,1,350
1,28,1,350
1,29,1,350
1,30,1,350
1,31,1,350
1,32,1,350
1,33,1,350
1,34,1,350
1,35,1,350
1,36,1,350
1,37,1,350
1,38,1,350
1,39,1,350
1,40,1,350
1,41,1,350
1,42,1,350
1,43,1,350
1,44,1,350
1,45,1,350
1,46,1,350
1,47,1,350
1,48,1,350
1,49,1,350
1,50,1,350
1,51,1,350
1,52,1,350
1,53,1,350
1,54,1,350
1,55,1,350
1,56,1,350
1,57,1,350
1,58,1,350
