# X Y Z T_K
0.01 0.01 0.01 327.981419749
0.01 0.01 0.02 327.984455209
0.01 0.01 0.03 327.985644901
0.01 0.01 0.04 327.986553707
0.01 0.01 0.05 327.987244205
0.01 0.01 0.06 327.988734942
0.01 0.01 0.07 327.987518625
0.01 0.01 0.08 327.987095381
0.01 0.012 0.01 327.984638516
0.01 0.012 0.02 327.987444312
0.01 0.012 0.03 327.988956343
0.01 0.012 0.04 327.989759346
0.01 0.012 0.05 327.990347273
0.01 0.012 0.06 327.991687914
0.01 0.012 0.07 327.990556782
0.01 0.012 0.08 327.989898217
0.01 0.014 0.01 327.994162745
0.01 0.014 0.02 327.996031474
0.01 0.014 0.03 327.997440221
0.01 0.014 0.04 327.99830648
0.01 0.014 0.05 327.99869835
0.01 0.014 0.06 327.9998942
0.01 0.014 0.07 327.998816462
0.01 0.014 0.08 327.998395406
0.01 0.016 0.01 328.008759172
0.01 0.016 0.02 328.010094595
0.01 0.016 0.03 328.011103657
0.01 0.016 0.04 328.012088228
0.01 0.016 0.05 328.012351656
0.01 0.016 0.06 328.01342911
0.01 0.016 0.07 328.012301144
0.01 0.016 0.08 328.012347677
0.01 0.018 0.01 328.028244238
0.01 0.018 0.02 328.029228273
0.01 0.018 0.03 328.030034589
0.01 0.018 0.04 328.031041932
0.01 0.018 0.05 328.031356321
0.01 0.018 0.06 328.032431626
0.01 0.018 0.07 328.031117061
0.01 0.018 0.08 328.031822241
0.01 0.02 0.01 328.052870048
0.01 0.02 0.02 328.053782236
0.01 0.02 0.03 328.054651624
0.01 0.02 0.04 328.055580588
0.01 0.02 0.05 328.05588925
0.01 0.02 0.06 328.05687313
0.01 0.02 0.07 328.055982601
0.01 0.02 0.08 328.058252089
0.01 0.022 0.01 328.083243617
0.01 0.022 0.02 328.084180753
0.01 0.022 0.03 328.084864991
0.01 0.022 0.04 328.085498504
0.01 0.022 0.05 328.08607346
0.01 0.022 0.06 328.08671656
0.01 0.022 0.07 328.08617114
0.01 0.022 0.08 328.085753934
0.01 0.024 0.01 328.119525368
0.01 0.024 0.02 328.120063923
0.01 0.024 0.03 328.120758073
0.01 0.024 0.04 328.121081752
0.01 0.024 0.05 328.121839035
0.01 0.024 0.06 328.122135791
0.01 0.024 0.07 328.12150205
0.01 0.024 0.08 328.121305449
0.01 0.026 0.01 328.16148269
0.01 0.026 0.02 328.161549238
0.01 0.026 0.03 328.162088321
0.01 0.026 0.04 328.162427327
0.01 0.026 0.05 328.16337694
0.01 0.026 0.06 328.163370757
0.01 0.026 0.07 328.162914106
0.01 0.026 0.08 328.162801738
0.01 0.028 0.01 328.208759588
0.01 0.028 0.02 328.208523786
0.01 0.028 0.03 328.208981141
0.01 0.028 0.04 328.209543367
0.01 0.028 0.05 328.21030886
0.01 0.028 0.06 328.210019901
0.01 0.028 0.07 328.210066354
0.01 0.028 0.08 327.922299921
0.01 0.03 0.01 328.261494569
0.01 0.03 0.02 328.261233631
0.01 0.03 0.03 328.261462834
0.01 0.03 0.04 328.262333117
0.01 0.03 0.05 328.262729768
0.01 0.03 0.06 328.262483243
0.01 0.03 0.07 328.262661992
0.01 0.03 0.08 327.788543191
0.01 0.032 0.01 328.320113451
0.01 0.032 0.02 328.319933013
0.01 0.032 0.03 328.319489145
0.01 0.032 0.04 328.320967543
0.01 0.032 0.05 328.035931479
0.01 0.032 0.06 328.321053687
0.01 0.032 0.07 328.320992485
0.01 0.032 0.08 328.321107577
0.01 0.034 0.01 328.38464468
0.01 0.034 0.02 328.384835972
0.01 0.034 0.03 328.384307651
0.01 0.034 0.04 328.385509286
0.01 0.034 0.05 328.385569288
0.01 0.034 0.06 328.384875501
0.01 0.034 0.07 328.385347396
0.01 0.034 0.08 328.386328692
0.01 0.036 0.01 328.455555319
0.01 0.036 0.02 328.455831154
0.01 0.036 0.03 328.455117485
0.01 0.036 0.04 328.456033963
0.01 0.036 0.05 328.456415732
0.01 0.036 0.06 328.455113084
0.01 0.036 0.07 328.456031968
0.01 0.036 0.08 328.455412961
0.01 0.038 0.01 328.533225265
0.01 0.038 0.02 328.533227011
0.01 0.038 0.03 328.531923629
0.01 0.038 0.04 328.533363931
0.01 0.038 0.05 328.534043796
0.01 0.038 0.06 328.532814007
0.01 0.038 0.07 328.533188239
0.01 0.038 0.08 328.533397879
0.01 0.04 0.01 328.617964756
0.01 0.04 0.02 328.617616851
0.01 0.04 0.03 328.616192139
0.01 0.04 0.04 328.617235565
0.01 0.04 0.05 328.617989844
0.01 0.04 0.06 328.617562021
0.01 0.04 0.07 328.616939587
0.01 0.04 0.08 328.618646868
0.01 0.042 0.01 328.710082224
0.01 0.042 0.02 328.709408959
0.01 0.042 0.03 328.707606949
0.01 0.042 0.04 328.708275518
0.01 0.042 0.05 328.709133188
0.01 0.042 0.06 328.709068606
0.01 0.042 0.07 328.708200963
0.01 0.042 0.08 328.70753868
0.01 0.044 0.01 328.809835206
0.01 0.044 0.02 328.808517883
0.01 0.044 0.03 328.806665528
0.01 0.044 0.04 328.806784026
0.01 0.044 0.05 328.807878828
0.01 0.044 0.06 328.807615154
0.01 0.044 0.07 328.80721291
0.01 0.044 0.08 328.806092084
0.01 0.046 0.01 328.917722775
0.01 0.046 0.02 328.915552613
0.01 0.046 0.03 328.913923799
0.01 0.046 0.04 328.91326403
0.01 0.046 0.05 328.914586069
0.01 0.046 0.06 328.913934876
0.01 0.046 0.07 328.914125449
0.01 0.046 0.08 328.912928181
0.01 0.048 0.01 329.034404773
0.01 0.048 0.02 329.031642924
0.01 0.048 0.03 329.030019412
0.01 0.048 0.04 329.02874976
0.01 0.048 0.05 329.029877104
0.01 0.048 0.06 329.028606826
0.01 0.048 0.07 329.029479865
0.01 0.048 0.08 329.028988782
0.01 0.05 0.01 329.160937903
0.01 0.05 0.02 329.157793306
0.01 0.05 0.03 329.156030164
0.01 0.05 0.04 329.15521691
0.01 0.05 0.05 329.155272157
0.01 0.05 0.06 329.153678543
0.01 0.05 0.07 329.154763283
0.01 0.05 0.08 329.154767699
0.01 0.052 0.01 329.300072331
0.01 0.052 0.02 329.296303
0.01 0.052 0.03 329.293439337
0.01 0.052 0.04 329.293224745
0.01 0.052 0.05 329.291982864
0.01 0.052 0.06 329.289367683
0.01 0.052 0.07 329.291633655
0.01 0.052 0.08 329.291318567
0.01 0.054 0.01 329.463516151
0.01 0.054 0.02 330.094512126
0.01 0.054 0.03 329.451389198
0.01 0.054 0.04 329.454593631
0.01 0.054 0.05 329.445915044
0.01 0.054 0.06 329.442093371
0.01 0.054 0.07 329.446719419
0.01 0.054 0.08 329.446114476
0.01 0.056 0.01 329.605064884
0.01 0.056 0.02 329.598657043
0.01 0.056 0.03 329.595330876
0.01 0.056 0.04 329.597581885
0.01 0.056 0.05 329.588395313
0.01 0.056 0.06 329.585731227
0.01 0.056 0.07 329.58990654
0.01 0.056 0.08 329.587266483
0.01 0.058 0.01 329.695588995
0.01 0.058 0.02 329.690621374
0.01 0.058 0.03 329.688890437
0.01 0.058 0.04 329.686936617
