idxcell,idycell,idzcell,Tinit
1,1,1,327.981419749
2,1,1,327.1252690525
3,1,1,325.40216578449997
4,1,1,323.653706136
5,1,1,321.8837938125
6,1,1,320.104842071
7,1,1,319.214295576
1,2,1,327.9830291325
2,2,1,327.12675537375003
3,2,1,325.40291066675
4,2,1,323.65318131025003
5,2,1,321.8824644745
6,2,1,320.10426808675
7,2,1,319.21463012649997
1,3,1,327.9894006305
2,3,1,327.13277233375004
3,3,1,325.40731268375
4,3,1,323.6542404745
5,3,1,321.881059379
6,3,1,320.10405316275
7,3,1,319.215987186
1,4,1,328.0014609585
2,4,1,327.1434930875
3,4,1,325.41529158375
4,4,1,323.659108388
5,4,1,321.8843306425
6,4,1,320.10709760375005
7,4,1,319.2186927475
1,5,1,328.018501705
2,5,1,327.15842642350003
3,5,1,325.42642169274995
4,5,1,323.6683452985
5,5,1,321.89378490375003
6,5,1,320.11403701325
7,5,1,319.2227025725
1,6,1,328.040557143
2,6,1,327.17870540575
3,6,1,325.44379782774996
4,6,1,323.68476312949997
5,6,1,321.909379753
6,6,1,320.12399474175004
7,6,1,319.2280142495
1,7,1,328.0680568325
2,7,1,327.20562425375
3,7,1,325.4708315445
4,7,1,323.71196546775
5,7,1,321.93208406425
6,7,1,320.13667985924997
7,7,1,319.2346511115
1,8,1,328.10138449249996
2,8,1,327.24060287475004
3,8,1,325.50892296025
4,8,1,323.7496223815
5,8,1,321.96143676024997
6,8,1,320.15215586425
7,8,1,319.2426583075
1,9,1,328.140504029
2,9,1,327.283453802
3,9,1,325.556302185
4,9,1,323.79512360225
5,9,1,321.99722371125
6,9,1,320.17124822525
7,9,1,319.2520954375
1,10,1,328.185121139
2,10,1,327.333278155
3,10,1,325.61301621475
4,10,1,323.851041329
5,10,1,322.0419475375
6,10,1,320.194701872
7,10,1,319.2629940685
1,11,1,328.2351270785
2,11,1,327.39014962425
3,11,1,325.68087865375
4,11,1,323.92095919875
5,11,1,322.09788374175
6,11,1,320.22290158500005
7,11,1,319.2753689465
1,12,1,328.29080401
2,12,1,327.456072162
3,12,1,325.76313448275005
4,12,1,324.0069288925
5,12,1,322.16726871225
6,12,1,320.2574386435
7,12,1,319.28926899600003
1,13,1,328.35237906550003
2,13,1,327.536104194
3,13,1,325.8685476765
4,13,1,324.1158525335
5,13,1,322.255771686
6,13,1,320.30093545324996
7,13,1,319.30476657099996
1,14,1,328.4200999995
2,14,1,327.63406381724997
3,14,1,326.0069975402499
4,14,1,324.25949369550005
5,14,1,322.37143892100005
6,14,1,320.3558825155
7,14,1,319.32190713449995
1,15,1,328.494390292
2,15,1,327.75258289525
3,15,1,326.187440723
4,15,1,324.4498318005
5,15,1,322.5222674665
6,15,1,320.4248756015
7,15,1,319.3407739235
1,16,1,328.5755950105
2,16,1,327.89323898299995
3,16,1,326.41598155075
4,16,1,324.6975850775
5,16,1,322.719067551
6,16,1,320.51279112475004
7,16,1,319.3615371565
1,17,1,328.66402349
2,17,1,328.06031796475
3,17,1,326.70115517600004
4,17,1,325.01443980224997
5,17,1,322.97501298525003
6,17,1,320.62562726125
7,17,1,319.384410244
1,18,1,328.75995871500004
2,18,1,328.26376484750006
3,18,1,327.0630365435
4,18,1,325.41902629099997
5,18,1,323.304055795
6,18,1,320.7691077105
7,18,1,319.409654306
1,19,1,328.8637789905
2,19,1,328.5140871475
3,19,1,327.52518294950005
4,19,1,325.93482234
5,19,1,323.72370920825
6,19,1,320.9507180795
7,19,1,319.43769182799997
1,20,1,328.976063774
2,20,1,328.8248643675
3,20,1,328.11622070450005
4,20,1,326.5890915315
5,20,1,324.25332708950003
6,20,1,321.1781551135
7,20,1,319.469062663
1,21,1,329.097671338
2,21,1,329.21242339025
3,21,1,328.8579539675
4,21,1,327.396420349
5,21,1,324.92215578525
