idxcell,idycell,idzcell,x_center_um,y_center_um,z_center_um,region_type,temperature_K,cell_volume_um3
1,1,1,0.005,0.005,0.005,X-,327.981419749,1.0000000000000002e-06
2,1,1,0.011,0.005,0.005,Y-,327.1252690525,2.0000000000000002e-07
3,1,1,0.013000000000000001,0.005,0.005,Y-,325.40216578449997,2.0000000000000002e-07
4,1,1,0.015,0.005,0.005,Y-,323.653706136,2.0000000000000002e-07
5,1,1,0.017,0.005,0.005,Y-,321.8837938125,1.9999999999999986e-07
6,1,1,0.019,0.005,0.005,Y-,320.104842071,2.000000000000002e-07
7,1,1,0.025,0.005,0.005,X+,319.214295576,1e-06
1,2,1,0.005,0.011,0.005,X-,327.9830291325,2.0000000000000002e-07
2,2,1,0.011,0.011,0.005,Z-,327.12675537375003,4e-08
3,2,1,0.013000000000000001,0.011,0.005,Z-,325.40291066675,4e-08
4,2,1,0.015,0.011,0.005,Z-,323.65318131025003,4e-08
5,2,1,0.017,0.011,0.005,Z-,321.8824644745,3.999999999999997e-08
6,2,1,0.019,0.011,0.005,Z-,320.10426808675,4.000000000000004e-08
7,2,1,0.025,0.011,0.005,X+,319.21463012649997,2e-07
1,3,1,0.005,0.013000000000000001,0.005,X-,327.9894006305,2.0000000000000002e-07
2,3,1,0.011,0.013000000000000001,0.005,Z-,327.13277233375004,4e-08
3,3,1,0.013000000000000001,0.013000000000000001,0.005,Z-,325.40731268375,4e-08
4,3,1,0.015,0.013000000000000001,0.005,Z-,323.6542404745,4e-08
5,3,1,0.017,0.013000000000000001,0.005,Z-,321.881059379,3.999999999999997e-08
6,3,1,0.019,0.013000000000000001,0.005,Z-,320.10405316275,4.000000000000004e-08
7,3,1,0.025,0.013000000000000001,0.005,X+,319.215987186,2e-07
1,4,1,0.005,0.015,0.005,X-,328.0014609585,2.0000000000000002e-07
2,4,1,0.011,0.015,0.005,Z-,327.1434930875,4e-08
3,4,1,0.013000000000000001,0.015,0.005,Z-,325.41529158375,4e-08
4,4,1,0.015,0.015,0.005,Z-,323.659108388,4e-08
5,4,1,0.017,0.015,0.005,Z-,321.8843306425,3.999999999999997e-08
6,4,1,0.019,0.015,0.005,Z-,320.10709760375005,4.000000000000004e-08
7,4,1,0.025,0.015,0.005,X+,319.2186927475,2e-07
1,5,1,0.005,0.017,0.005,X-,328.018501705,1.9999999999999986e-07
2,5,1,0.011,0.017,0.005,Z-,327.15842642350003,3.999999999999997e-08
3,5,1,0.013000000000000001,0.017,0.005,Z-,325.42642169274995,3.999999999999997e-08
4,5,1,0.015,0.017,0.005,Z-,323.6683452985,3.999999999999997e-08
5,5,1,0.017,0.017,0.005,Z-,321.89378490375003,3.999999999999993e-08
6,5,1,0.019,0.017,0.005,Z-,320.11403701325,4e-08
7,5,1,0.025,0.017,0.005,X+,319.2227025725,1.999999999999998e-07
1,6,1,0.005,0.019,0.005,X-,328.040557143,2.000000000000002e-07
2,6,1,0.011,0.019,0.005,Z-,327.17870540575,4.000000000000004e-08
3,6,1,0.013000000000000001,0.019,0.005,Z-,325.44379782774996,4.000000000000004e-08
4,6,1,0.015,0.019,0.005,Z-,323.68476312949997,4.000000000000004e-08
5,6,1,0.017,0.019,0.005,Z-,321.909379753,4e-08
6,6,1,0.019,0.019,0.005,Z-,320.12399474175004,4.0000000000000074e-08
7,6,1,0.025,0.019,0.005,X+,319.2280142495,2.0000000000000015e-07
1,7,1,0.005,0.020999999999999998,0.005,X-,328.0680568325,1.9999999999999986e-07
2,7,1,0.011,0.020999999999999998,0.005,Z-,327.20562425375,3.999999999999997e-08
3,7,1,0.013000000000000001,0.020999999999999998,0.005,Z-,325.4708315445,3.999999999999997e-08
4,7,1,0.015,0.020999999999999998,0.005,Z-,323.71196546775,3.999999999999997e-08
5,7,1,0.017,0.020999999999999998,0.005,Z-,321.93208406425,3.999999999999993e-08
6,7,1,0.019,0.020999999999999998,0.005,Z-,320.13667985924997,4e-08
7,7,1,0.025,0.020999999999999998,0.005,X+,319.2346511115,1.999999999999998e-07
1,8,1,0.005,0.023,0.005,X-,328.10138449249996,2.000000000000002e-07
