# Xmin Xmax Ymin Ymax Zmin Zmax P_W_m3
0.01 0.012 0.01 0.012 0.01 0.02 2.08029633987e+13
0.01 0.012 0.01 0.012 0.02 0.03 2.08029633987e+13
0.01 0.012 0.01 0.012 0.03 0.04 2.08029633987e+13
0.01 0.012 0.01 0.012 0.04 0.05 2.08029633987e+13
0.01 0.012 0.01 0.012 0.05 0.06 2.08029633987e+13
0.01 0.012 0.01 0.012 0.06 0.07 2.08029633987e+13
0.01 0.012 0.01 0.012 0.07 0.08 2.08029633987e+13
0.01 0.012 0.012 0.014 0.01 0.02 2.35554863265e+13
0.01 0.012 0.012 0.014 0.02 0.03 2.35554863265e+13
0.01 0.012 0.012 0.014 0.03 0.04 2.35554863265e+13
0.01 0.012 0.012 0.014 0.04 0.05 2.35554863265e+13
0.01 0.012 0.012 0.014 0.05 0.06 2.35554863265e+13
0.01 0.012 0.012 0.014 0.06 0.07 2.35554863265e+13
0.01 0.012 0.012 0.014 0.07 0.08 2.35554863265e+13
0.01 0.012 0.014 0.016 0.01 0.02 3.02935381719e+13
0.01 0.012 0.014 0.016 0.02 0.03 3.02935381719e+13
0.01 0.012 0.014 0.016 0.03 0.04 3.02935381719e+13
0.01 0.012 0.014 0.016 0.04 0.05 3.02935381719e+13
0.01 0.012 0.014 0.016 0.05 0.06 3.02935381719e+13
0.01 0.012 0.014 0.016 0.06 0.07 3.02935381719e+13
0.01 0.012 0.014 0.016 0.07 0.08 3.02935381719e+13
0.01 0.012 0.016 0.018 0.01 0.02 4.11726150108e+13
0.01 0.012 0.016 0.018 0.02 0.03 4.11726150108e+13
0.01 0.012 0.016 0.018 0.03 0.04 4.11726150108e+13
0.01 0.012 0.016 0.018 0.04 0.05 4.11726150108e+13
0.01 0.012 0.016 0.018 0.05 0.06 4.11726150108e+13
0.01 0.012 0.016 0.018 0.06 0.07 4.11726150108e+13
0.01 0.012 0.016 0.018 0.07 0.08 4.11726150108e+13
0.01 0.012 0.018 0.02 0.01 0.02 6.2379531626e+13
0.01 0.012 0.018 0.02 0.02 0.03 6.2379531626e+13
0.01 0.012 0.018 0.02 0.03 0.04 6.2379531626e+13
0.01 0.012 0.018 0.02 0.04 0.05 6.2379531626e+13
0.01 0.012 0.018 0.02 0.05 0.06 6.2379531626e+13
0.01 0.012 0.018 0.02 0.06 0.07 6.2379531626e+13
0.01 0.012 0.018 0.02 0.07 0.08 6.2379531626e+13
0.01 0.012 0.02 0.022 0.01 0.02 9.26011486319e+13
0.01 0.012 0.02 0.022 0.02 0.03 9.26011486319e+13
0.01 0.012 0.02 0.022 0.03 0.04 9.26011486319e+13
0.01 0.012 0.02 0.022 0.04 0.05 9.26011486319e+13
0.01 0.012 0.02 0.022 0.05 0.06 9.26011486319e+13
0.01 0.012 0.02 0.022 0.06 0.07 9.26011486319e+13
0.01 0.012 0.02 0.022 0.07 0.08 9.26011486319e+13
0.01 0.012 0.022 0.024 0.01 0.02 1.48044395323e+14
0.01 0.012 0.022 0.024 0.02 0.03 1.48044395323e+14
0.01 0.012 0.022 0.024 0.03 0.04 1.48044395323e+14
0.01 0.012 0.022 0.024 0.04 0.05 1.48044395323e+14
0.01 0.012 0.022 0.024 0.05 0.06 1.48044395323e+14
0.01 0.012 0.022 0.024 0.06 0.07 1.48044395323e+14
0.01 0.012 0.022 0.024 0.07 0.08 1.48044395323e+14
