case_name,width_nm,temperature_K,variant,input_dir
w002nm_t300k_s5050_n100k,2.0,300.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w002nm_t300k_s5050_n100k
w005nm_t300k_s5050_n100k,5.0,300.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w005nm_t300k_s5050_n100k
w010nm_t300k_s5050_n100k,10.0,300.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w010nm_t300k_s5050_n100k
w020nm_t300k_s5050_n100k,20.0,300.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w020nm_t300k_s5050_n100k
w050nm_t300k_s5050_n100k,50.0,300.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w050nm_t300k_s5050_n100k
w100nm_t300k_legacy,100.0,300.0,legacy,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w100nm_t300k_legacy
w200nm_t300k_legacy,200.0,300.0,legacy,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w200nm_t300k_legacy
w400nm_t300k_legacy,400.0,300.0,legacy,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w400nm_t300k_legacy
w002nm_t323k_s5050_n100k,2.0,323.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w002nm_t323k_s5050_n100k
w005nm_t323k_s5050_n100k,5.0,323.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w005nm_t323k_s5050_n100k
w010nm_t323k_s5050_n100k,10.0,323.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w010nm_t323k_s5050_n100k
w020nm_t323k_s5050_n100k,20.0,323.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w020nm_t323k_s5050_n100k
w050nm_t323k_s5050_n100k,50.0,323.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w050nm_t323k_s5050_n100k
w100nm_t323k_legacy,100.0,323.0,legacy,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w100nm_t323k_legacy
w200nm_t323k_legacy,200.0,323.0,legacy,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w200nm_t323k_legacy
w400nm_t323k_legacy,400.0,323.0,legacy,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w400nm_t323k_legacy
w002nm_t373k_s5050_n100k,2.0,373.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w002nm_t373k_s5050_n100k
w005nm_t373k_s5050_n100k,5.0,373.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w005nm_t373k_s5050_n100k
w010nm_t373k_s5050_n100k,10.0,373.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w010nm_t373k_s5050_n100k
w020nm_t373k_s5050_n100k,20.0,373.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w020nm_t373k_s5050_n100k
w050nm_t373k_s5050_n100k,50.0,373.0,s5050_n100k,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w050nm_t373k_s5050_n100k
w100nm_t373k_legacy,100.0,373.0,legacy,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w100nm_t373k_legacy
w200nm_t373k_legacy,200.0,373.0,legacy,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w200nm_t373k_legacy
w400nm_t373k_legacy,400.0,373.0,legacy,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/in_plane_inputs/w400nm_t373k_legacy
