idxcell,idycell,idzcell,Temperature
1,1,1,295.0
1,2,1,295.08849557522126
1,3,1,295.17699115044246
1,4,1,295.2654867256637
1,5,1,295.353982300885
1,6,1,295.4424778761062
1,7,1,295.53097345132744
1,8,1,295.6194690265487
1,9,1,295.7079646017699
1,10,1,295.79646017699116
1,11,1,295.88495575221236
1,12,1,295.9734513274336
1,13,1,296.0619469026549
1,14,1,296.1504424778761
1,15,1,296.23893805309734
1,16,1,296.3274336283186
1,17,1,296.4159292035398
1,18,1,296.50442477876106
1,19,1,296.5929203539823
1,20,1,296.6814159292035
1,21,1,296.7699115044248
1,22,1,296.85840707964604
1,23,1,296.94690265486724
1,24,1,297.0353982300885
1,25,1,297.12389380530976
1,26,1,297.21238938053096
1,27,1,297.3008849557522
1,28,1,297.3893805309734
1,29,1,297.4778761061947
1,30,1,297.56637168141594
1,31,1,297.65486725663715
1,32,1,297.7433628318584
1,33,1,297.83185840707966
1,34,1,297.92035398230087
1,35,1,298.0088495575221
1,36,1,298.0973451327434
1,37,1,298.1858407079646
1,38,1,298.27433628318585
1,39,1,298.3628318584071
1,40,1,298.4513274336283
1,41,1,298.53982300884957
1,42,1,298.62831858407077
1,43,1,298.716814159292
1,44,1,298.8053097345133
1,45,1,298.8938053097345
1,46,1,298.98230088495575
1,47,1,299.070796460177
1,48,1,299.1592920353982
1,49,1,299.24778761061947
1,50,1,299.3362831858407
1,51,1,299.42477876106193
1,52,1,299.5132743362832
1,53,1,299.60176991150445
1,54,1,299.69026548672565
1,55,1,299.7787610619469
1,56,1,299.86725663716817
1,57,1,299.95575221238937
1,58,1,300.04424778761063
1,59,1,300.13274336283183
1,60,1,300.2212389380531
1,61,1,300.30973451327435
1,62,1,300.39823008849555
1,63,1,300.4867256637168
1,64,1,300.57522123893807
1,65,1,300.6637168141593
1,66,1,300.75221238938053
1,67,1,300.8407079646018
1,68,1,300.929203539823
1,69,1,301.01769911504425
1,70,1,301.1061946902655
1,71,1,301.1946902654867
1,72,1,301.283185840708
1,73,1,301.37168141592923
1,74,1,301.46017699115043
1,75,1,301.5486725663717
1,76,1,301.6371681415929
1,77,1,301.72566371681415
1,78,1,301.8141592920354
1,79,1,301.9026548672566
1,80,1,301.9911504424779
1,81,1,302.07964601769913
1,82,1,302.16814159292034
1,83,1,302.2566371681416
1,84,1,302.34513274336285
1,85,1,302.43362831858406
1,86,1,302.5221238938053
1,87,1,302.6106194690266
1,88,1,302.6991150442478
1,89,1,302.78761061946904
1,90,1,302.87610619469024
1,91,1,302.9646017699115
1,92,1,303.05309734513276
1,93,1,303.14159292035396
1,94,1,303.2300884955752
1,95,1,303.3185840707965
1,96,1,303.4070796460177
1,97,1,303.49557522123894
1,98,1,303.5840707964602
1,99,1,303.6725663716814
1,100,1,303.76106194690266
1,101,1,303.8495575221239
1,102,1,303.9380530973451
1,103,1,304.0265486725664
1,104,1,304.11504424778764
1,105,1,304.20353982300884
1,106,1,304.2920353982301
1,107,1,304.3805309734513
1,108,1,304.46902654867256
1,109,1,304.5575221238938
1,110,1,304.646017699115
1,111,1,304.7345132743363
1,112,1,304.82300884955754
1,113,1,304.91150442477874
1,114,1,305.0
