omega_rad_s,DOS_Cu_LA,DOS_Cu_TA1,DOS_Cu_TA2,DOS_TiN_LA,DOS_TiN_TA1,DOS_TiN_TA2
50000000000.0,1219878827.9371836,10409425458.4468,10409425458.4468,444756910.3641713,1948777085.8330932,1948777085.8330932
150000000000.0,10978909451.434652,93684829126.02121,93684829126.02121,4002812193.277542,17538993772.49784,17538993772.49784
250000000000.0,30496970698.429592,260235636461.17,260235636461.17,11118922759.104284,48719427145.82733,48719427145.82733
350000000000.0,59774062568.922005,510061847463.89325,510061847463.89325,21793088607.844395,95490077205.82156,95490077205.82156
450000000000.0,98810185062.91188,843163462134.1909,843163462134.1909,36025309739.49788,157850943952.48056,157850943952.48056
550000000000.0,147605338180.39923,1259540480472.063,1259540480472.063,53815586154.06473,235802027385.80426,235802027385.80426
650000000000.0,206159521921.38406,1759192902477.5095,1759192902477.5095,75163917851.54495,329343327505.7927,329343327505.7927
750000000000.0,274472736285.86633,2342120728150.5303,2342120728150.5303,100070304831.93855,438474844312.446,438474844312.446
850000000000.0,352544981273.84607,3008323957491.1255,3008323957491.1255,128534747095.24551,563196577805.7639,563196577805.7639
950000000000.0,440376256885.3233,3757802590499.2954,3757802590499.2954,160557244641.46585,703508527985.7466,703508527985.7466
1050000000000.0,537966563120.29803,4590556627175.039,4590556627175.039,196137797470.59955,859410694852.394,859410694852.394
1150000000000.0,645315899978.7701,5506586067518.357,5506586067518.357,235276405582.64664,1030903078405.7063,1030903078405.7063
1250000000000.0,762424267460.7399,6505890911529.251,6505890911529.251,277973068977.60706,1217985678645.6833,1217985678645.6833
1350000000000.0,889291665566.2069,7588471159207.718,7588471159207.718,324227787655.4809,1420658495572.325,1420658495572.325
1450000000000.0,1025918094295.1714,8754326810553.759,8754326810553.759,374040561616.2681,1638921529185.6316,1638921529185.6316
1550000000000.0,1172303553647.6335,10003457865567.377,10003457865567.377,427411390859.9686,1872774779485.6025,1872774779485.6025
1650000000000.0,1328448043623.5933,11335864324248.566,11335864324248.566,484340275386.5826,2122218246472.2385,2122218246472.2385
1750000000000.0,1494351564223.05,12751546186597.332,12751546186597.332,544827215196.1099,2387251930145.5396,2387251930145.5396
1850000000000.0,1670014115446.0044,14250503452613.67,14250503452613.67,608872210288.5505,2667875830505.505,2667875830505.505
1950000000000.0,1855435697292.4563,15832736122297.584,15832736122297.584,676475260663.9045,2964089947552.135,2964089947552.135
2050000000000.0,2050616309762.4058,17498244195649.072,17498244195649.072,747636366322.172,3275894281285.4297,3275894281285.4297
2150000000000.0,2255555952855.8525,19247027672668.137,19247027672668.137,822355527263.3528,3603288831705.389,3603288831705.389
2250000000000.0,2470254626572.797,21079086553354.773,21079086553354.773,900632743487.447,3946273598812.014,3946273598812.014
2350000000000.0,2694712330913.239,22994420837708.984,22994420837708.984,982468014994.4546,4304848582605.303,4304848582605.303
2450000000000.0,2928929065877.178,24993030525730.77,24993030525730.77,1067861341784.3755,4679013783085.257,4679013783085.257
2550000000000.0,3172904831464.6147,27074915617420.13,27074915617420.13,1156812723857.2097,5068769200251.876,5068769200251.876
