G_pp_W_m2K,G_ep_int_W_m2K,G_ep_bulk_W_m3K,kappa_e_W_mK,kappa_p_W_mK,G_total_W_m2K,G_e_channel_W_m2K,G_p_channel_W_m2K,electron_channel_fraction,phonon_channel_fraction,l_ep_m,R_e_m_m2K_W,R_p_m_m2K_W,R_ep_m2K_W,R_pp_m2K_W
444088088.99431956,1000000000.0,1e+16,350.0,20.0,1115369959.0641246,889462925.9652463,225907033.0988783,0.7974599985744367,0.20254000142556333,4.3495883620084e-08,1.2427395320024e-10,2.1747941810042003e-09,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1.2589254117941714e+16,350.0,20.0,1138943271.372053,900285075.5952951,238658195.77675787,0.7904564680475674,0.20954353195243258,3.876574708135602e-08,1.1075927737530291e-10,1.9382873540678008e-09,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1.5848931924611108e+16,350.0,20.0,1161454812.432908,910154706.2951821,251300106.13772583,0.7836333334300577,0.21636666656994225,3.455000845371415e-08,9.871430986775471e-11,1.7275004226857075e-09,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1.9952623149688828e+16,350.0,20.0,1182887101.6282115,919135200.7866397,263751900.84157193,0.7770269872090713,0.22297301279092882,3.0792727446901524e-08,8.79792212768615e-11,1.539636372345076e-09,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,2.511886431509572e+16,350.0,20.0,1203227351.5912783,927289760.0941464,275937591.49713194,0.7706687841394212,0.22933121586057875,2.7444047224747784e-08,7.841156349927939e-11,1.3722023612373892e-09,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,3.162277660168379e+16,350.0,20.0,1222468264.2619243,934680437.5627817,287787826.69914246,0.7645846234929485,0.23541537650705135,2.445953283524324e-08,6.988437952926639e-11,1.222976641762162e-09,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,3.981071705534986e+16,350.0,20.0,1240608697.0545082,941367385.3726554,299241311.68185276,0.7587947655112197,0.24120523448878023,2.1799581585723652e-08,6.22845188163533e-11,1.0899790792861827e-09,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,5.0118723362727144e+16,350.0,20.0,1257654123.5913806,947408289.7450169,310245833.84636354,0.7533138658501592,0.2466861341498406,1.9428897539199378e-08,5.5511135826283936e-11,9.71444876959969e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,6.309573444801943e+16,350.0,20.0,1273616843.44254,952857969.5222453,320758873.9202947,0.7481511998119504,0.2518488001880496,1.7316023158715834e-08,4.9474351882045243e-11,8.658011579357917e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,7.943282347242789e+16,350.0,20.0,1288515925.4262872,957768112.9402733,330747812.486014,0.7433110402755863,0.2566889597244138,1.543292188495119e-08,4.409406252843197e-11,7.716460942475595e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1e+17,350.0,20.0,1302376895.779023,962187128.6929637,340189767.0860593,0.7387931495186936,0.26120685048130643,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1.2589254117941714e+17,350.0,20.0,1315231203.4990058,966160089.3944006,349071114.10460514,0.7345933451274986,0.2654066548725013,1.2258805597510969e-08,3.502515885003134e-11,6.129402798755485e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1.584893192461111e+17,350.0,20.0,1327115509.2281091,969728747.9470055,357386761.28110355,0.7307041031500184,0.2692958968499815,1.0925671989180889e-08,3.121620568337397e-11,5.462835994590445e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1.995262314968883e+17,350.0,20.0,1338070851.0933595,972931609.8739429,365139241.2194165,0.7271151666437876,0.2728848333562123,9.737515410099038e-09,2.7821472600282968e-11,4.868757705049519e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,2.511886431509572e+17,350.0,20.0,1348141741.7859333,975804047.1987816,372337694.58715165,0.7238141338952222,0.27618586610477774,8.678569744342591e-09,2.4795913555264548e-11,4.3392848721712957e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,3.1622776601683795e+17,350.0,20.0,1357375247.1475005,978378441.8383293,378996805.3091712,0.7207870070523047,0.2792129929476953,7.734783426304462e-09,2.209938121801275e-11,3.8673917131522314e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,3.9810717055349856e+17,350.0,20.0,1365820089.218882,980684348.6466855,385135740.5721966,0.7180186881037478,0.2819813118962522,6.893632984955188e-09,1.9696094242729108e-11,3.4468164924775937e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,5.011872336272715e+17,350.0,20.0,1373525807.5970423,982748670.1751894,390777137.42185295,0.7154934146410323,0.28450658535896767,6.1439568649910585e-09,1.7554162471403024e-11,3.071978432495529e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,6.309573444801943e+17,350.0,20.0,1380542003.3349776,984595836.883913,395946166.4510645,0.7131951324229348,0.2868048675770652,5.475807319776538e-09,1.564516377079011e-11,2.737903659888269e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,7.943282347242789e+17,350.0,20.0,1386917680.4837935,986247987.962124,400669692.52166945,0.7111078053443624,0.2888921946556376,4.880318410790483e-09,1.3943766887972808e-11,2.4401592053952413e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1e+18,350.0,20.0,1392700692.3635576,987725149.1045481,404975543.25900954,0.7092156660224502,0.29078433397754977,4.3495883620084005e-09,1.2427395320024002e-11,2.1747941810042003e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1.2589254117941714e+18,350.0,20.0,1397937293.1044276,989045404.5698478,408891888.53457975,0.7075034119545196,0.2924965880454804,3.876574708135602e-09,1.1075927737530293e-11,1.9382873540678012e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1.5848931924611108e+18,350.0,20.0,1402671790.0252154,990225061.6426194,412446728.38259596,0.7059563532141888,0.2940436467858112,3.4550008453714145e-09,9.87143098677547e-12,1.7275004226857072e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1.995262314968883e+18,350.0,20.0,1406946288.9425352,991278806.2557362,415667482.6867989,0.7045605180854375,0.29543948191456243,3.0792727446901518e-09,8.797922127686148e-12,1.539636372345076e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,2.511886431509572e+18,350.0,20.0,1410800522.351418,992219849.0302519,418580673.32116604,0.7033027230359209,0.29669727696407905,2.744404722474778e-09,7.841156349927938e-12,1.372202361237389e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,3.1622776601683794e+18,350.0,20.0,1414271749.355234,993060061.3775336,421211687.97770035,0.7021706131302342,0.29782938686976573,2.4459532835243237e-09,6.988437952926639e-12,1.2229766417621618e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,3.9810717055349857e+18,350.0,20.0,1417394716.003135,993810101.6026845,423584614.4004505,0.7011526784896568,0.29884732151034327,2.179958158572365e-09,6.228451881635328e-12,1.0899790792861825e-10,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,5.011872336272715e+18,350.0,20.0,1420201665.085014,994479531.1668934,425722133.91812074,0.7002382518030376,0.2997617481969624,1.9428897539199374e-09,5.551113582628392e-12,9.714448769599687e-11,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,6.309573444801943e+18,350.0,20.0,1422722385.2347283,995076921.4239767,427645463.8107517,0.6994174912485147,0.30058250875148523,1.7316023158715836e-09,4.947435188204525e-12,8.658011579357919e-11,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,7.943282347242789e+18,350.0,20.0,1424984290.2359672,995609951.255541,429374338.9804263,0.6986813525436657,0.3013186474563344,1.543292188495119e-09,4.409406252843197e-12,7.716460942475595e-11,1e-09,2.2518054971134144e-09
444088088.99431956,1000000000.0,1e+19,350.0,20.0,1427012520.5828698,996085496.1003261,430927024.48254377,0.6980215532330931,0.3019784467669069,1.3754606108107538e-09,3.929887459459297e-12,6.877303054053769e-11,1e-09,2.2518054971134144e-09
