G_pp_W_m2K,G_ep_int_W_m2K,G_ep_bulk_W_m3K,kappa_e_W_mK,kappa_p_W_mK,G_total_W_m2K,G_e_channel_W_m2K,G_p_channel_W_m2K,electron_channel_fraction,phonon_channel_fraction,l_ep_m,R_e_m_m2K_W,R_p_m_m2K_W,R_ep_m2K_W,R_pp_m2K_W
1000000.0,1000000000.0,1e+17,350.0,20.0,963186441.4353062,962187128.6929637,999312.7423425134,0.9989624929303891,0.0010375070696109188,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1e-06
1258925.411794166,1000000000.0,1e+17,350.0,20.0,963444965.0685674,962187128.6929637,1257836.3756036747,0.9986944387887126,0.0013055612112874094,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,7.943282347242822e-07
1584893.1924611141,1000000000.0,1e+17,350.0,20.0,963770296.2658913,962187128.6929637,1583167.5729276189,0.9983573185653661,0.0016426814346339267,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,6.30957344480193e-07
1995262.3149688789,1000000000.0,1e+17,350.0,20.0,964179656.8560823,962187128.6929637,1992528.1631186155,0.9979334472067004,0.0020665527932996297,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,5.011872336272725e-07
2511886.4315095823,1000000000.0,1e+17,350.0,20.0,964694683.3227904,962187128.6929637,2507554.629826649,0.9974006753917316,0.0025993246082684296,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,3.981071705534969e-07
3162277.6601683795,1000000000.0,1e+17,350.0,20.0,965342543.9743395,962187128.6929637,3155415.281375792,0.9967312998882398,0.0032687001117601925,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,3.162277660168379e-07
3981071.7055349695,1000000000.0,1e+17,350.0,20.0,966157330.3687999,962187128.6929637,3970201.6758362027,0.9958907296451183,0.00410927035488175,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,2.5118864315095823e-07
5011872.336272725,1000000000.0,1e+17,350.0,20.0,967181785.3642476,962187128.6929637,4994656.671283881,0.9948358656595225,0.005164134340477532,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.9952623149688787e-07
6309573.44480193,1000000000.0,1e+17,350.0,20.0,968469441.3933028,962187128.6929637,6282312.700339099,0.9935131534028571,0.00648684659714297,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.584893192461114e-07
7943282.347242822,1000000000.0,1e+17,350.0,20.0,970087253.951582,962187128.6929637,7900125.258618269,0.9918562735192761,0.008143726480723942,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.2589254117941662e-07
10000000.0,1000000000.0,1e+17,350.0,20.0,972118825.4048352,962187128.6929637,9931696.71187151,0.9897834539849226,0.010216546015077418,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1e-07
12589254.117941663,1000000000.0,1e+17,350.0,20.0,974668320.5076497,962187128.6929637,12481191.814685926,0.9871944213717901,0.01280557862820983,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,7.94328234724282e-08
