# branch	q_real(1/m)	f(THz)	vg(m/s)
1	0.0000000000e+00	-0.0000010000	-2068.5736442630
1	1.1274096511e+08	-0.0371180000	1297.7837693545
1	2.2548193021e+08	0.0465720000	3649.8897145898
1	3.3822289532e+08	0.0938640000	2536.1023858564
1	4.5096386042e+08	0.1375840000	2460.7817166154
1	5.6370482553e+08	0.1821730000	2542.6507977216
1	6.7644579063e+08	0.2288310000	2670.1029404627
1	7.8924836283e+08	0.2780200000	2815.0479632514
1	9.0198932793e+08	0.3298810000	2817.4333058187
1	1.0147302930e+09	0.3791280000	2528.6065441895
1	1.1274712581e+09	0.4206240000	2307.1866263983
1	1.2402122232e+09	0.4619250000	2295.7896031945
1	1.3529531884e+09	0.5030120000	2283.3894190242
1	1.4656941535e+09	0.5438680000	2270.0418050522
1	1.5784351186e+09	0.5844760000	2255.7467612783
1	1.6911760837e+09	0.6248190000	2240.5321532851
1	1.8039170488e+09	0.6648810000	2224.4815778198
1	1.9166580139e+09	0.7046480000	2207.5950348823
1	2.0293989790e+09	0.7441040000	2189.8446588902
1	2.1421399441e+09	0.7832340000	2170.7766693759
1	2.2549425163e+09	0.8220270000	2151.5825273998
1	2.3676834814e+09	0.8604680000	2132.2465000588
1	2.4804244465e+09	0.8985460000	2111.7095658262
1	2.5931654116e+09	0.9362500000	2090.5038576159
1	2.7059063767e+09	0.9735670000	2068.7408377575
1	2.8186473418e+09	1.0104900000	2046.4762374158
1	2.9313883069e+09	1.0470080000	2023.6543254259
1	3.0441292720e+09	1.0831120000	2000.3865641177
1	3.1568702371e+09	1.1187950000	1976.7286846557
1	3.2696112022e+09	1.1540500000	1952.6528214577
1	3.3823521673e+09	1.1888690000	1927.6880149739
1	3.4951547395e+09	1.2232470000	1902.9779947522
1	3.6078957046e+09	1.2571790000	1878.4746410952
1	3.7206366697e+09	1.2906590000	1853.2005578537
1	3.8333776349e+09	1.3236840000	1827.7035499530
1	3.9461186000e+09	1.3562490000	1801.9836173931
1	4.0588595651e+09	1.3883510000	1776.1243569211
1	4.1716005302e+09	1.4199880000	1750.0979029547
1	4.2843414953e+09	1.4511560000	1723.9599866587
1	4.3970824604e+09	1.4818550000	1697.7106080330
1	4.5098234255e+09	1.5120810000	1671.3497670778
1	4.6225643906e+09	1.5418340000	1644.9331949577
1	4.7353053557e+09	1.5711120000	1618.4330260904
1	4.8480463208e+09	1.5999140000	1591.4701637271
1	4.9608488930e+09	1.6282400000	1564.9215174235
1	5.0735898581e+09	1.6560890000	1538.7653259941
1	5.1863308232e+09	1.6834610000	1512.1536947972
1	5.2990717883e+09	1.7103550000	1485.5141980179
1	5.4118127534e+09	1.7367710000	1458.9025668210
1	5.5245537185e+09	1.7627100000	1432.2630700417
1	5.6372946836e+09	1.7881700000	1405.6235732624
1	5.7500356487e+09	1.8131530000	1379.0119420655
1	5.8627766138e+09	1.8376580000	1352.4003108686
1	5.9755175789e+09	1.8616860000	1325.8165452541
1	6.0882585441e+09	1.8852370000	1299.2327796396
1	6.2009995092e+09	1.9083110000	1272.3013906943
1	6.3138020813e+09	1.9309080000	1245.7248864198
1	6.4265430465e+09	1.9530280000	1219.5372139609
1	6.5392840116e+09	1.9746730000	678.1925445763
1	6.6520249767e+09	1.9773660000	-405.7228798188
1	6.7647659418e+09	1.9601130000	-951.8882949595
1	6.8775069069e+09	1.9432060000	-927.3387168606
1	6.9902478720e+09	1.9268340000	-892.4788732718
1	7.1029888371e+09	1.9111780000	-847.6988823467
1	7.2157298022e+09	1.8964130000	-793.3331310743
1	7.3284707673e+09	1.8827080000	-729.8553343554
1	7.4412117324e+09	1.8702210000	-657.8228038381
1	7.5539526975e+09	1.8591010000	-577.7928511705
1	7.6666936626e+09	1.8494860000	-490.3506535832
1	7.7794346277e+09	1.8415040000	-396.1682047046
1	7.8922371999e+09	1.8352650000	-296.2695209221
1	8.0049781650e+09	1.8308690000	-191.3808199585
1	8.1177191301e+09	1.8283970000	-82.2591992600
1	8.2304600952e+09	1.8279170000	30.0948289975
1	8.3432010603e+09	1.8294770000	144.5945071003
