material_id,formula_pretty,energy_above_hull,is_stable,spacegroup_symbol,spacegroup_number,crystal_system,density,volume,band_gap,has_props,theoretical
mp-988,Si3N4,0.0,True,P6_3/m,176,Hexagonal,3.2020796443326165,145.49663109055865,4.2503,"[<HasProps.materials: 'materials'>, <HasProps.thermo: 'thermo'>, <HasProps.xas: 'xas'>, <HasProps.grain_boundaries: 'grain_boundaries'>, <HasProps.electronic_structure: 'electronic_structure'>, <HasProps.bandstructure: 'bandstructure'>, <HasProps.dos: 'dos'>, <HasProps.magnetism: 'magnetism'>, <HasProps.elasticity: 'elasticity'>, <HasProps.dielectric: 'dielectric'>, <HasProps.piezoelectric: 'piezoelectric'>, <HasProps.surface_properties: 'surface_properties'>, <HasProps.oxi_states: 'oxi_states'>, <HasProps.provenance: 'provenance'>, <HasProps.charge_density: 'charge_density'>, <HasProps.eos: 'eos'>, <HasProps.phonon: 'phonon'>, <HasProps.absorption: 'absorption'>, <HasProps.insertion_electrodes: 'insertion_electrodes'>, <HasProps.substrates: 'substrates'>, <HasProps.chemenv: 'chemenv'>]",False
mp-2245,Si3N4,0.003539623571429118,False,P31c,159,Trigonal,3.1863581707089885,292.42902133025774,4.6579999999999995,"[<HasProps.materials: 'materials'>, <HasProps.thermo: 'thermo'>, <HasProps.xas: 'xas'>, <HasProps.grain_boundaries: 'grain_boundaries'>, <HasProps.electronic_structure: 'electronic_structure'>, <HasProps.bandstructure: 'bandstructure'>, <HasProps.dos: 'dos'>, <HasProps.magnetism: 'magnetism'>, <HasProps.elasticity: 'elasticity'>, <HasProps.dielectric: 'dielectric'>, <HasProps.piezoelectric: 'piezoelectric'>, <HasProps.surface_properties: 'surface_properties'>, <HasProps.oxi_states: 'oxi_states'>, <HasProps.provenance: 'provenance'>, <HasProps.charge_density: 'charge_density'>, <HasProps.eos: 'eos'>, <HasProps.phonon: 'phonon'>, <HasProps.absorption: 'absorption'>, <HasProps.insertion_electrodes: 'insertion_electrodes'>, <HasProps.substrates: 'substrates'>, <HasProps.chemenv: 'chemenv'>]",False
mp-11607,Si3N4,0.09949754000000155,False,I-43d,220,Cubic,3.41132817576264,136.57196749471183,4.0310999999999995,"[<HasProps.materials: 'materials'>, <HasProps.thermo: 'thermo'>, <HasProps.xas: 'xas'>, <HasProps.grain_boundaries: 'grain_boundaries'>, <HasProps.electronic_structure: 'electronic_structure'>, <HasProps.bandstructure: 'bandstructure'>, <HasProps.dos: 'dos'>, <HasProps.magnetism: 'magnetism'>, <HasProps.elasticity: 'elasticity'>, <HasProps.dielectric: 'dielectric'>, <HasProps.piezoelectric: 'piezoelectric'>, <HasProps.surface_properties: 'surface_properties'>, <HasProps.oxi_states: 'oxi_states'>, <HasProps.provenance: 'provenance'>, <HasProps.charge_density: 'charge_density'>, <HasProps.eos: 'eos'>, <HasProps.phonon: 'phonon'>, <HasProps.absorption: 'absorption'>, <HasProps.insertion_electrodes: 'insertion_electrodes'>, <HasProps.substrates: 'substrates'>, <HasProps.chemenv: 'chemenv'>]",True
mp-2075,Si3N4,0.1471396700000014,False,Fd-3m,227,Cubic,3.9460409442073376,118.06562763064186,3.3308,"[<HasProps.materials: 'materials'>, <HasProps.thermo: 'thermo'>, <HasProps.xas: 'xas'>, <HasProps.grain_boundaries: 'grain_boundaries'>, <HasProps.electronic_structure: 'electronic_structure'>, <HasProps.bandstructure: 'bandstructure'>, <HasProps.dos: 'dos'>, <HasProps.magnetism: 'magnetism'>, <HasProps.elasticity: 'elasticity'>, <HasProps.dielectric: 'dielectric'>, <HasProps.piezoelectric: 'piezoelectric'>, <HasProps.surface_properties: 'surface_properties'>, <HasProps.oxi_states: 'oxi_states'>, <HasProps.provenance: 'provenance'>, <HasProps.charge_density: 'charge_density'>, <HasProps.eos: 'eos'>, <HasProps.phonon: 'phonon'>, <HasProps.absorption: 'absorption'>, <HasProps.insertion_electrodes: 'insertion_electrodes'>, <HasProps.substrates: 'substrates'>, <HasProps.chemenv: 'chemenv'>]",True
mp-641539,Si3N4,0.2877060364285722,False,Pnma,62,Orthorhombic,3.833340564621736,243.07352445217603,3.5562000000000005,"[<HasProps.materials: 'materials'>, <HasProps.thermo: 'thermo'>, <HasProps.xas: 'xas'>, <HasProps.grain_boundaries: 'grain_boundaries'>, <HasProps.electronic_structure: 'electronic_structure'>, <HasProps.bandstructure: 'bandstructure'>, <HasProps.dos: 'dos'>, <HasProps.magnetism: 'magnetism'>, <HasProps.elasticity: 'elasticity'>, <HasProps.dielectric: 'dielectric'>, <HasProps.piezoelectric: 'piezoelectric'>, <HasProps.surface_properties: 'surface_properties'>, <HasProps.oxi_states: 'oxi_states'>, <HasProps.provenance: 'provenance'>, <HasProps.charge_density: 'charge_density'>, <HasProps.eos: 'eos'>, <HasProps.phonon: 'phonon'>, <HasProps.absorption: 'absorption'>, <HasProps.insertion_electrodes: 'insertion_electrodes'>, <HasProps.substrates: 'substrates'>, <HasProps.chemenv: 'chemenv'>]",True
mp-1245229,Si3N4,0.36439846319047753,False,P1,1,Triclinic,2.9921005330677852,1167.8045128793856,1.4928,"[<HasProps.materials: 'materials'>, <HasProps.thermo: 'thermo'>, <HasProps.xas: 'xas'>, <HasProps.grain_boundaries: 'grain_boundaries'>, <HasProps.electronic_structure: 'electronic_structure'>, <HasProps.bandstructure: 'bandstructure'>, <HasProps.dos: 'dos'>, <HasProps.magnetism: 'magnetism'>, <HasProps.elasticity: 'elasticity'>, <HasProps.dielectric: 'dielectric'>, <HasProps.piezoelectric: 'piezoelectric'>, <HasProps.surface_properties: 'surface_properties'>, <HasProps.oxi_states: 'oxi_states'>, <HasProps.provenance: 'provenance'>, <HasProps.charge_density: 'charge_density'>, <HasProps.eos: 'eos'>, <HasProps.phonon: 'phonon'>, <HasProps.absorption: 'absorption'>, <HasProps.insertion_electrodes: 'insertion_electrodes'>, <HasProps.substrates: 'substrates'>, <HasProps.chemenv: 'chemenv'>]",True
mp-1245263,Si3N4,0.3865726003333343,False,P1,1,Triclinic,2.9999791747299067,1164.7375871600716,1.9940999999999995,"[<HasProps.materials: 'materials'>, <HasProps.thermo: 'thermo'>, <HasProps.xas: 'xas'>, <HasProps.grain_boundaries: 'grain_boundaries'>, <HasProps.electronic_structure: 'electronic_structure'>, <HasProps.bandstructure: 'bandstructure'>, <HasProps.dos: 'dos'>, <HasProps.magnetism: 'magnetism'>, <HasProps.elasticity: 'elasticity'>, <HasProps.dielectric: 'dielectric'>, <HasProps.piezoelectric: 'piezoelectric'>, <HasProps.surface_properties: 'surface_properties'>, <HasProps.oxi_states: 'oxi_states'>, <HasProps.provenance: 'provenance'>, <HasProps.charge_density: 'charge_density'>, <HasProps.eos: 'eos'>, <HasProps.phonon: 'phonon'>, <HasProps.absorption: 'absorption'>, <HasProps.insertion_electrodes: 'insertion_electrodes'>, <HasProps.substrates: 'substrates'>, <HasProps.chemenv: 'chemenv'>]",True
mp-40793,Si3N4,0.49511214214285815,False,P6_3/mmc,194,Hexagonal,3.5120764709647427,132.65423022126643,1.8207000000000004,"[<HasProps.materials: 'materials'>, <HasProps.thermo: 'thermo'>, <HasProps.xas: 'xas'>, <HasProps.grain_boundaries: 'grain_boundaries'>, <HasProps.electronic_structure: 'electronic_structure'>, <HasProps.bandstructure: 'bandstructure'>, <HasProps.dos: 'dos'>, <HasProps.magnetism: 'magnetism'>, <HasProps.elasticity: 'elasticity'>, <HasProps.dielectric: 'dielectric'>, <HasProps.piezoelectric: 'piezoelectric'>, <HasProps.surface_properties: 'surface_properties'>, <HasProps.oxi_states: 'oxi_states'>, <HasProps.provenance: 'provenance'>, <HasProps.charge_density: 'charge_density'>, <HasProps.eos: 'eos'>, <HasProps.phonon: 'phonon'>, <HasProps.absorption: 'absorption'>, <HasProps.insertion_electrodes: 'insertion_electrodes'>, <HasProps.substrates: 'substrates'>, <HasProps.chemenv: 'chemenv'>]",True
mp-1245249,Si3N4,0.5863529750952399,False,P1,1,Triclinic,2.9067265270784697,1202.104316644249,0.6779000000000002,"[<HasProps.materials: 'materials'>, <HasProps.thermo: 'thermo'>, <HasProps.xas: 'xas'>, <HasProps.grain_boundaries: 'grain_boundaries'>, <HasProps.electronic_structure: 'electronic_structure'>, <HasProps.bandstructure: 'bandstructure'>, <HasProps.dos: 'dos'>, <HasProps.magnetism: 'magnetism'>, <HasProps.elasticity: 'elasticity'>, <HasProps.dielectric: 'dielectric'>, <HasProps.piezoelectric: 'piezoelectric'>, <HasProps.surface_properties: 'surface_properties'>, <HasProps.oxi_states: 'oxi_states'>, <HasProps.provenance: 'provenance'>, <HasProps.charge_density: 'charge_density'>, <HasProps.eos: 'eos'>, <HasProps.phonon: 'phonon'>, <HasProps.absorption: 'absorption'>, <HasProps.insertion_electrodes: 'insertion_electrodes'>, <HasProps.substrates: 'substrates'>, <HasProps.chemenv: 'chemenv'>]",True
mp-1245287,Si3N4,0.6257231337619054,False,P1,1,Triclinic,2.876859232439788,1214.5844558901292,0.18189999999999973,"[<HasProps.materials: 'materials'>, <HasProps.thermo: 'thermo'>, <HasProps.xas: 'xas'>, <HasProps.grain_boundaries: 'grain_boundaries'>, <HasProps.electronic_structure: 'electronic_structure'>, <HasProps.bandstructure: 'bandstructure'>, <HasProps.dos: 'dos'>, <HasProps.magnetism: 'magnetism'>, <HasProps.elasticity: 'elasticity'>, <HasProps.dielectric: 'dielectric'>, <HasProps.piezoelectric: 'piezoelectric'>, <HasProps.surface_properties: 'surface_properties'>, <HasProps.oxi_states: 'oxi_states'>, <HasProps.provenance: 'provenance'>, <HasProps.charge_density: 'charge_density'>, <HasProps.eos: 'eos'>, <HasProps.phonon: 'phonon'>, <HasProps.absorption: 'absorption'>, <HasProps.insertion_electrodes: 'insertion_electrodes'>, <HasProps.substrates: 'substrates'>, <HasProps.chemenv: 'chemenv'>]",True
