label,sweep_param,param_value,T_K,kappa_p_W_mK
Cu,L_eff,1e-09,200,1.9578697952660866
Cu,L_eff,1e-09,300,2.1204288262832445
Cu,L_eff,1e-09,400,2.182252081511029
Cu,L_eff,1e-09,500,2.211807898117865
Cu,L_eff,1.584893192461111e-09,200,2.60931759493209
Cu,L_eff,1.584893192461111e-09,300,2.8134811564799342
Cu,L_eff,1.584893192461111e-09,400,2.890921973516813
Cu,L_eff,1.584893192461111e-09,500,2.927906209220989
Cu,L_eff,2.511886431509582e-09,200,3.3901186692342073
Cu,L_eff,2.511886431509582e-09,300,3.6378779602095523
Cu,L_eff,2.511886431509582e-09,400,3.7315881894878893
Cu,L_eff,2.511886431509582e-09,500,3.7762932588438156
Cu,L_eff,3.981071705534969e-09,200,4.305445322527072
Cu,L_eff,3.981071705534969e-09,300,4.597087129947145
Cu,L_eff,3.981071705534969e-09,400,4.707072523761248
Cu,L_eff,3.981071705534969e-09,500,4.759482508783831
Cu,L_eff,6.309573444801943e-09,200,5.3595955029138285
Cu,L_eff,6.309573444801943e-09,300,5.693988476257656
Cu,L_eff,6.309573444801943e-09,400,5.81973003856424
Cu,L_eff,6.309573444801943e-09,500,5.87958096673356
Cu,L_eff,1e-08,200,6.555231244905341
Cu,L_eff,1e-08,300,6.930181659288327
Cu,L_eff,1e-08,400,7.07077950671376
Cu,L_eff,1e-08,500,7.137629634986892
Cu,L_eff,1.5848931924611143e-08,200,7.891182618742534
Cu,L_eff,1.5848931924611143e-08,300,8.303758105779242
Cu,L_eff,1.5848931924611143e-08,400,8.458058766611227
Cu,L_eff,1.5848931924611143e-08,500,8.53135012885122
Cu,L_eff,2.511886431509582e-08,200,9.358726650905556
Cu,L_eff,2.511886431509582e-08,300,9.805504874795641
Cu,L_eff,2.511886431509582e-08,400,9.972196529296092
Cu,L_eff,2.511886431509582e-08,500,10.051300517810253
Cu,L_eff,3.981071705534969e-08,200,10.936517660272703
Cu,L_eff,3.981071705534969e-08,300,11.413758864457373
Cu,L_eff,3.981071705534969e-08,400,11.591435318187369
Cu,L_eff,3.981071705534969e-08,500,11.675682910644777
Cu,L_eff,6.30957344480193e-08,200,12.585218956034385
Cu,L_eff,6.30957344480193e-08,300,13.088985355796552
Cu,L_eff,6.30957344480193e-08,400,13.276188352220618
Cu,L_eff,6.30957344480193e-08,500,13.364889741109764
Cu,L_eff,1e-07,200,14.24456548262079
Cu,L_eff,1e-07,300,14.770822398739535
Cu,L_eff,1e-07,400,14.96607583113304
Cu,L_eff,1e-07,500,15.058535993032658
Cu,L_eff,1.584893192461114e-07,200,15.837133646722133
Cu,L_eff,1.584893192461114e-07,300,16.381867717901088
Cu,L_eff,1.584893192461114e-07,400,16.583717048352213
Cu,L_eff,1.584893192461114e-07,500,16.67925359101988
Cu,L_eff,2.5118864315095823e-07,200,17.281805181715605
Cu,L_eff,2.5118864315095823e-07,300,17.841178527461445
Cu,L_eff,2.5118864315095823e-07,400,18.048242569977205
Cu,L_eff,2.5118864315095823e-07,500,18.146209272562057
Cu,L_eff,3.981071705534969e-07,200,18.51377389609643
Cu,L_eff,3.981071705534969e-07,300,19.084299874977404
Cu,L_eff,3.981071705534969e-07,400,19.295330183214638
Cu,L_eff,3.981071705534969e-07,500,19.39514407441672
Cu,L_eff,6.309573444801942e-07,200,19.501018176965125
Cu,L_eff,6.309573444801942e-07,300,20.079713501775313
Cu,L_eff,6.309573444801942e-07,400,20.293645630200288
Cu,L_eff,6.309573444801942e-07,500,20.394810340195935
Cu,L_eff,1e-06,200,20.247915459792424
Cu,L_eff,1e-06,300,20.83238185109914
Cu,L_eff,1e-06,400,21.048362149577205
Cu,L_eff,1e-06,500,21.150479979180187
Cu,L_eff,1.584893192461114e-06,200,20.785813508687355
Cu,L_eff,1.584893192461114e-06,300,21.374232506683235
Cu,L_eff,1.584893192461114e-06,400,21.59161475817939
Cu,L_eff,1.584893192461114e-06,500,21.694384837237763
Cu,L_eff,2.5118864315095823e-06,200,21.158246046393888
Cu,L_eff,2.5118864315095823e-06,300,21.74930636182062
Cu,L_eff,2.5118864315095823e-06,400,21.967625082862515
Cu,L_eff,2.5118864315095823e-06,500,22.070830779302927
Cu,L_eff,3.981071705534969e-06,200,21.40859268334528
Cu,L_eff,3.981071705534969e-06,300,22.001385840485277
Cu,L_eff,3.981071705534969e-06,400,22.220318767782732
Cu,L_eff,3.981071705534969e-06,500,22.32381014434958
Cu,L_eff,6.309573444801943e-06,200,21.57334777313484
Cu,L_eff,6.309573444801943e-06,300,22.16726295391054
Cu,L_eff,6.309573444801943e-06,400,22.38659351220874
Cu,L_eff,6.309573444801943e-06,500,22.49026982247983
Cu,L_eff,1e-05,200,21.680205306576358
Cu,L_eff,1e-05,300,22.274840501245663
Cu,L_eff,1e-05,400,22.49442619405439
Cu,L_eff,1e-05,500,22.598221159218657
Cu,A_0,100000000.0,200,32.53950728673755
Cu,A_0,100000000.0,300,33.186005019941476
Cu,A_0,100000000.0,400,33.423914815302
Cu,A_0,100000000.0,500,33.5362221573277
Cu,A_0,199526231.49688828,200,32.18270357373956
Cu,A_0,199526231.49688828,300,32.82797638928353
Cu,A_0,199526231.49688828,400,33.06545450705886
Cu,A_0,199526231.49688828,500,33.17756151500141
Cu,A_0,398107170.5534969,200,31.51898532710368
Cu,A_0,398107170.5534969,300,32.16191415428609
Cu,A_0,398107170.5534969,400,32.3985660760481
Cu,A_0,398107170.5534969,500,32.510289635113054
Cu,A_0,794328234.7242821,200,30.35384580826586
Cu,A_0,794328234.7242821,300,30.99244235640061
Cu,A_0,794328234.7242821,400,31.227566762416537
Cu,A_0,794328234.7242821,500,31.338581291043965
Cu,A_0,1584893192.4611108,200,28.486726472747137
Cu,A_0,1584893192.4611108,300,29.117744627291366
Cu,A_0,1584893192.4611108,400,29.35019539190469
Cu,A_0,1584893192.4611108,500,29.459968606297345
Cu,A_0,3162277660.1683793,200,25.843010640515963
Cu,A_0,3162277660.1683793,300,26.46173445843516
Cu,A_0,3162277660.1683793,400,26.689843410514335
