name,category,status,target,note
L0010nm_T300K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y10nm_1nm_Eeff5e-19_T300K,"length=10nm,temp=300K,grid=1nm"
L0010nm_T323K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y10nm_1nm_Eeff5e-19_T323K,"length=10nm,temp=323K,grid=1nm"
L0010nm_T373K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y10nm_1nm_Eeff5e-19_T373K,"length=10nm,temp=373K,grid=1nm"
L0020nm_T300K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y20nm_1nm_Eeff5e-19_T300K,"length=20nm,temp=300K,grid=1nm"
L0020nm_T323K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y20nm_1nm_Eeff5e-19_T323K,"length=20nm,temp=323K,grid=1nm"
L0020nm_T373K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y20nm_1nm_Eeff5e-19_T373K,"length=20nm,temp=373K,grid=1nm"
L0050nm_T300K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y50nm_1nm_Eeff5e-19_T300K,"length=50nm,temp=300K,grid=1nm"
L0050nm_T323K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y50nm_1nm_Eeff5e-19_T323K,"length=50nm,temp=323K,grid=1nm"
L0050nm_T373K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y50nm_1nm_Eeff5e-19_T373K,"length=50nm,temp=373K,grid=1nm"
L0070nm_T300K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y70nm_1nm_Eeff5e-19_T300K,"length=70nm,temp=300K,grid=1nm"
L0070nm_T323K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y70nm_1nm_Eeff5e-19_T323K,"length=70nm,temp=323K,grid=1nm"
L0070nm_T373K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y70nm_1nm_Eeff5e-19_T373K,"length=70nm,temp=373K,grid=1nm"
L0140nm_T300K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y140nm_10nm_Eeff5e-19_T300K,"length=140nm,temp=300K,grid=10nm"
L0140nm_T323K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y140nm_10nm_Eeff5e-19_T323K,"length=140nm,temp=323K,grid=10nm"
L0140nm_T373K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y140nm_10nm_Eeff5e-19_T373K,"length=140nm,temp=373K,grid=10nm"
L0280nm_T300K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T300K,"length=280nm,temp=300K,grid=10nm"
L0280nm_T323K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T323K,"length=280nm,temp=323K,grid=10nm"
L0280nm_T373K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T373K,"length=280nm,temp=373K,grid=10nm"
L0560nm_T300K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y560nm_10nm_Eeff5e-19_T300K,"length=560nm,temp=300K,grid=10nm"
L0560nm_T323K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y560nm_10nm_Eeff5e-19_T323K,"length=560nm,temp=323K,grid=10nm"
L0560nm_T373K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y560nm_10nm_Eeff5e-19_T373K,"length=560nm,temp=373K,grid=10nm"
L1120nm_T300K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y1120nm_10nm_Eeff5e-19_T300K,"length=1120nm,temp=300K,grid=10nm"
L1120nm_T323K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y1120nm_10nm_Eeff5e-19_T323K,"length=1120nm,temp=323K,grid=10nm"
L1120nm_T373K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y1120nm_10nm_Eeff5e-19_T373K,"length=1120nm,temp=373K,grid=10nm"
