idxcell,idycell,idzcell,Temperature
1,1,1,318.0
1,2,1,318.4761904761905
1,3,1,318.95238095238096
1,4,1,319.42857142857144
1,5,1,319.9047619047619
1,6,1,320.3809523809524
1,7,1,320.85714285714283
1,8,1,321.3333333333333
1,9,1,321.8095238095238
1,10,1,322.2857142857143
1,11,1,322.76190476190476
1,12,1,323.23809523809524
1,13,1,323.7142857142857
1,14,1,324.1904761904762
1,15,1,324.6666666666667
1,16,1,325.14285714285717
1,17,1,325.6190476190476
1,18,1,326.0952380952381
1,19,1,326.57142857142856
1,20,1,327.04761904761904
1,21,1,327.5238095238095
1,22,1,328.0
