name,category,status,target,note
run_L0010nm_T300K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y10nm_1nm_Eeff5e-19_T300K,primary run dir
run_L0010nm_T323K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y10nm_1nm_Eeff5e-19_T323K,primary run dir
run_L0010nm_T373K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y10nm_1nm_Eeff5e-19_T373K,primary run dir
run_L0020nm_T300K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y20nm_1nm_Eeff5e-19_T300K,primary run dir
run_L0020nm_T323K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y20nm_1nm_Eeff5e-19_T323K,primary run dir
run_L0020nm_T373K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y20nm_1nm_Eeff5e-19_T373K,primary run dir
run_L0050nm_T300K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y50nm_1nm_Eeff5e-19_T300K,primary run dir
run_L0050nm_T323K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y50nm_1nm_Eeff5e-19_T323K,primary run dir
run_L0050nm_T373K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y50nm_1nm_Eeff5e-19_T373K,primary run dir
run_L0070nm_T300K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y70nm_1nm_Eeff5e-19_T300K,primary run dir
run_L0070nm_T323K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y70nm_1nm_Eeff5e-19_T323K,primary run dir
run_L0070nm_T373K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y70nm_1nm_Eeff5e-19_T373K,primary run dir
run_L0140nm_T300K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y140nm_10nm_Eeff5e-19_T300K,primary run dir
run_L0140nm_T323K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y140nm_10nm_Eeff5e-19_T323K,primary run dir
run_L0140nm_T373K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y140nm_10nm_Eeff5e-19_T373K,primary run dir
run_L0280nm_T300K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y280nm_10nm_Eeff5e-19_T300K,primary run dir
run_L0280nm_T323K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y280nm_10nm_Eeff5e-19_T323K,primary run dir
run_L0280nm_T373K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y280nm_10nm_Eeff5e-19_T373K,primary run dir
run_L0560nm_T300K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_test_y560_10nm_300K_Eeff5e-19_Tloc_after_debug,fallback run dir
run_L0560nm_T323K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y560nm_10nm_Eeff5e-19_T323K,primary run dir
run_L0560nm_T373K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y560nm_10nm_Eeff5e-19_T373K,primary run dir
run_L1120nm_T300K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_test_y1120_10nm_300K_Eeff5e-19_Tloc_after_debug,fallback run dir
run_L1120nm_T323K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y1120nm_10nm_Eeff5e-19_T323K,primary run dir
run_L1120nm_T373K,run_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/run_run_input_y1120nm_10nm_Eeff5e-19_T373K,primary run dir
boxplot_default,summary_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/kappa_boxplot_length_temp,derived summary directory
boxplot_cumulative,summary_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/kappa_boxplot_length_temp_cumulative,derived summary directory
boxplot_interval_rolling,summary_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/kappa_boxplot_length_temp_interval_rolling_tail5,derived summary directory
boxplot_mixed1120,summary_result,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/output/kappa_boxplot_length_temp_mixed1120,derived summary directory
