name,category,status,target,note
T300K_pm2p5K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T300K_pm2p5K,"temperature=300K,delta_half=2.5K"
T300K_pm5K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T300K_pm5K,"temperature=300K,delta_half=5.0K"
T300K_pm10K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T300K_pm10K,"temperature=300K,delta_half=10.0K"
T300K_pm20K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T300K_pm20K,"temperature=300K,delta_half=20.0K"
T300K_pm50K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T300K_pm50K,"temperature=300K,delta_half=50.0K"
T323K_pm2p5K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T323K_pm2p5K,"temperature=323K,delta_half=2.5K"
T323K_pm5K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T323K_pm5K,"temperature=323K,delta_half=5.0K"
T323K_pm10K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T323K_pm10K,"temperature=323K,delta_half=10.0K"
T323K_pm20K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T323K_pm20K,"temperature=323K,delta_half=20.0K"
T323K_pm50K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T323K_pm50K,"temperature=323K,delta_half=50.0K"
T373K_pm2p5K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T373K_pm2p5K,"temperature=373K,delta_half=2.5K"
T373K_pm5K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T373K_pm5K,"temperature=373K,delta_half=5.0K"
T373K_pm10K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T373K_pm10K,"temperature=373K,delta_half=10.0K"
T373K_pm20K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T373K_pm20K,"temperature=373K,delta_half=20.0K"
T373K_pm50K,input,linked,/home/ic/3dmc_Si_ylx_mod/Phonon_MC_py/input_y280nm_10nm_Eeff5e-19_T373K_pm50K,"temperature=373K,delta_half=50.0K"
