idxcell,idycell,idzcell,Temperature
1,1,1,280.0
1,2,1,281.37931034482756
1,3,1,282.7586206896552
1,4,1,284.13793103448273
1,5,1,285.51724137931035
1,6,1,286.8965517241379
1,7,1,288.2758620689655
1,8,1,289.6551724137931
1,9,1,291.0344827586207
1,10,1,292.41379310344826
1,11,1,293.7931034482759
1,12,1,295.17241379310343
1,13,1,296.55172413793105
1,14,1,297.9310344827586
1,15,1,299.3103448275862
1,16,1,300.6896551724138
1,17,1,302.0689655172414
1,18,1,303.44827586206895
1,19,1,304.82758620689657
1,20,1,306.2068965517241
1,21,1,307.58620689655174
1,22,1,308.9655172413793
1,23,1,310.3448275862069
1,24,1,311.7241379310345
1,25,1,313.1034482758621
1,26,1,314.48275862068965
1,27,1,315.8620689655172
1,28,1,317.2413793103448
1,29,1,318.62068965517244
1,30,1,320.0
